AreaID|ManagedAreaName|Month|ParameterName|ShellType|SizeClass|HabitatType|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs
2|Apalachicola Bay Aquatic Preserve|1|PercentLive_pct|Live Oysters||Natural|55|0|71|0|10.8181818181818|18.1568178288497|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|1|PercentLive_pct|Live Oysters||Restored|45|84.2975206|99.4923857|95.8333333|94.8165270444444|3.61337709981903|RESTORE Oyster Cultch Recovery|5007
2|Apalachicola Bay Aquatic Preserve|2|PercentLive_pct|Live Oysters||Natural|20|5|37|13.5|16.15|9.40478601564119|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|2|PercentLive_pct|Live Oysters||Restored|45|0|100|0|24.3421516753333|35.2246726959008|NRDA Oyster Cultch Recovery Project|4044
2|Apalachicola Bay Aquatic Preserve|3|PercentLive_pct|Live Oysters||Restored|210|0|100|60.91269841|51.0076367441905|38.8974493601583|NRDA Oyster Cultch Recovery Project|4044
2|Apalachicola Bay Aquatic Preserve|4|PercentLive_pct|Live Oysters||Restored|242|0|100|59.824561405|53.6894685843388|40.9626971944356|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
2|Apalachicola Bay Aquatic Preserve|5|PercentLive_pct|Live Oysters||Restored|105|0|100|90.90909091|61.6090629726667|44.9647692334514|NRDA Oyster Cultch Recovery Project|4044
2|Apalachicola Bay Aquatic Preserve|6|PercentLive_pct|Live Oysters||Restored|386|0|100|73.24393355|56.4219787422798|38.9249311878248|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
2|Apalachicola Bay Aquatic Preserve|7|PercentLive_pct|Live Oysters||Restored|337|0|100|61.53846154|50.8200357176261|44.466309882756|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
2|Apalachicola Bay Aquatic Preserve|8|PercentLive_pct|Live Oysters||Restored|210|0|100|0|24.1179738251905|40.4680182971209|NRDA Oyster Cultch Recovery Project|4044
2|Apalachicola Bay Aquatic Preserve|9|PercentLive_pct|Live Oysters||Restored|285|0|100|80|57.7649273142456|45.190688604694|NRDA Oyster Cultch Recovery Project|4044
2|Apalachicola Bay Aquatic Preserve|10|PercentLive_pct|Live Oysters||Natural|41|0|22|0|2.82926829268293|5.04926944727844|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|10|PercentLive_pct|Live Oysters||Restored|120|0|100|85.71428571|63.9559098511667|42.3805685555811|NRDA Oyster Cultch Recovery Project|4044
2|Apalachicola Bay Aquatic Preserve|11|PercentLive_pct|Live Oysters||Natural|33|0|8|0|1.24242424242424|2.10698693384509|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|11|PercentLive_pct|Live Oysters||Restored|210|0|100|93.37719298|75.4893181059048|35.7512051056998|NRDA Oyster Cultch Recovery Project|4044
2|Apalachicola Bay Aquatic Preserve|12|PercentLive_pct|Live Oysters||Natural|35|0|15|0|1.85714285714286|3.48224789757537|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|12|PercentLive_pct|Live Oysters||Restored|254|0|100|86.425061425|70.079411447441|36.1864530354976|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
3|Apalachicola National Estuarine Research Reserve|1|PercentLive_pct|Live Oysters||Natural|85|0|71|3|9.55294117647059|15.1047973161107|Apalachicola Intertidal Oyster Project|5010
3|Apalachicola National Estuarine Research Reserve|1|PercentLive_pct|Live Oysters||Restored|45|84.2975206|99.4923857|95.8333333|94.8165270444444|3.61337709981903|RESTORE Oyster Cultch Recovery|5007
3|Apalachicola National Estuarine Research Reserve|2|PercentLive_pct|Live Oysters||Natural|20|5|37|13.5|16.15|9.40478601564119|Apalachicola Intertidal Oyster Project|5010
3|Apalachicola National Estuarine Research Reserve|2|PercentLive_pct|Live Oysters||Restored|45|0|100|0|24.3421516753333|35.2246726959008|NRDA Oyster Cultch Recovery Project|4044
3|Apalachicola National Estuarine Research Reserve|3|PercentLive_pct|Live Oysters||Restored|210|0|100|60.91269841|51.0076367441905|38.8974493601583|NRDA Oyster Cultch Recovery Project|4044
3|Apalachicola National Estuarine Research Reserve|4|PercentLive_pct|Live Oysters||Restored|317|0|100|84.95145631|63.4675643476656|39.9216709419401|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
3|Apalachicola National Estuarine Research Reserve|5|PercentLive_pct|Live Oysters||Restored|105|0|100|90.90909091|61.6090629726667|44.9647692334514|NRDA Oyster Cultch Recovery Project|4044
3|Apalachicola National Estuarine Research Reserve|6|PercentLive_pct|Live Oysters||Restored|593|0|100|85.2459016|66.2610235457336|36.373916175384|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
3|Apalachicola National Estuarine Research Reserve|7|PercentLive_pct|Live Oysters||Restored|397|0|100|66.66666667|53.9175922330982|41.8200375960546|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
3|Apalachicola National Estuarine Research Reserve|8|PercentLive_pct|Live Oysters||Restored|510|0|100|90.71794865|64.6608298650784|42.9136999489494|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
3|Apalachicola National Estuarine Research Reserve|9|PercentLive_pct|Live Oysters||Restored|360|0|100|80.67226885|62.6544861068333|41.4545999886574|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
3|Apalachicola National Estuarine Research Reserve|10|PercentLive_pct|Live Oysters||Natural|79|0|59|4|8.9873417721519|12.899506719734|Apalachicola Intertidal Oyster Project|5010
